content_type,content_id,use1,use2,use3
talisman,t_throw,combat:ash_field,sell:market,quest:y01_act3
talisman,t_gather,gather:back_hill,sell:market,gift:y02_eoduki
talisman,t_return,travel:ash_field,sell:market,event:y03_act2
material,m_namul,cook:namul_muchim,sell:market,gift:y03_dalgael
material,m_mushroom,cook:mushroom_soup,sell:market,buff:sight
material,m_branch,craft:t_gather,upgrade:hoe_2,sell:market
material,m_stone,upgrade:pickaxe_2,craft:stone_lantern,sell:market
material,m_acorn,cook:acorn_jelly,feed:rescued_beast,sell:market
material,m_herb,cook:herb_tea,buff:stamina,quest:y02_act2
material,wood,upgrade:axe_2,craft:furniture,sell:market
material,m_bamboo,upgrade:rod_2,craft:bamboo_trap,sell:market
material,m_ore,upgrade:pickaxe_2,craft:iron_pot,sell:market
material,m_clay,craft:clay_jar,decor:room,sell:market
material,m_spring_water,cook:herb_tea,buff:stamina,gift:y01_ttukttagi
material,m_ash_grass,cook:ash_broth,craft:t_throw,sell:market
material,m_ember_stone,craft:t_throw,upgrade:axe_2,sell:market
material,m_shadow_moss,cook:shadow_stew,gift:y02_eoduki,quest:y02_act3
crop,c_radish,cook:radish_soup,sell:market,gift:y01_ttukttagi
crop,c_cabbage,cook:kimchi,sell:market,feed:guests
crop,c_perilla,cook:perilla_wrap,buff:courage,sell:market
crop,c_garlic,cook:garlic_stew,buff:strength,sell:market
crop,c_sweet_potato,cook:roasted_sweet_potato,gift:y03_dalgael,sell:market
crop,c_moon_melon,cook:moon_melon_slice,buff:sight,quest:y03_act3
crop,c_ash_pepper,cook:ash_pepper_stew,gift:y02_eoduki,sell:market
